,title,agency,date,status,purpose,period_covered,link,reason_denial
108,SALN of VP Leni Robredo,DILG,2022-02-13,PENDING,Research and Development,12/31/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURJTEctMDgzMTEzNDQ2NDYxDA,
109,SALN of VP Leni Robredo,OVP,2022-04-02,PENDING,Research,05/01/2016 - 04/02/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC03ODE5NjI0NzI0MzQM,
110,SALN of VP Leni Robredo,OVP,2022-04-02,AWAITING CLARIFICATION,Research,05/01/2016 - 04/02/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC03ODE5NjI0NzI0MzQM,
111,SALN of VP Leni Robredo,OVP,2022-04-16,PENDING,Educational and research purposes,04/16/2016 - 04/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0yMDkzMzE0NTUwMTYM,
112,SALN of VP Leni Robredo,OVP,2022-04-16,AWAITING CLARIFICATION,Educational and research purposes,04/16/2016 - 04/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC0yMDkzMzE0NTUwMTYM,
169,"Statement of Assets, Liabilities and Net Worth (SALN)",DILG,2017-11-15,DENIED,Research and information,11/15/2010 - 11/15/2017,,wrong-agency
170,"Statement of Assets, Liabilities and Net Worth (SALN)",OVP,2022-01-25,PENDING,Transparency,01/01/2013 - 01/25/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE9WUC03NDQwMTI2NTg1NTUM,
173,"SALN of Barangay Officials of Lower Irasan, Pres. Manuel A. Roxas, Zamboanga del Norte",DILG,2017-11-17,DENIED,Research and Validation,01/01/2000 - 11/17/2017,,wrong-agency
174,SALN of all Assistant National Statisticians,PSA,2018-03-01,SUCCESSFUL,Audit being conducted by PSA's Internal Audit Division,12/31/2016 - 12/31/2016,,—
175,SALN of Ms. Pia Cayetano and Mr. Lorenzo Tanada III,PMS,2018-04-13,DENIED,Profiling of potential senatorial candidates for the 2019 elections,01/01/1998 - 01/01/2018,,—
176,"SALN of Mr. Aquilino Martin de la Llana Pimentel II/""Koko Pimentel""",DILG,2018-04-13,DENIED,Profiling of potential senatorial candidates for the 2019 elections,01/01/2011 - 04/13/2018,,wrong-agency
177,"SALN of Mr. Francis Tolentino and Mr. Christopher ""Bong"" Go",PMS,2018-04-13,DENIED,Profiling of potential senatorial candidates for the 2019 elections,01/01/1986 - 04/13/2018,,—
178,"SALN of Mr. Koko Pimentel, Mr. Reynaldo Umali, Mr. Zajid Mangudadatu, and Ms. Geraldine Roman",PMS,2018-04-13,DENIED,Profiling of potential senatorial candidates for the 2019 elections,01/01/1998 - 04/13/2018,,—
179,"SALN of Mr. Reynaldo Umali, Mr. Zajid ""Dong"" Mangudadatu, Ms. Geraldine Roman, & Mr. Karlo Nograles",DILG,2018-04-13,DENIED,Profiling of potential senatorial candidates for the 2019 elections,01/01/2008 - 04/13/2018,,wrong-agency
